city_norm,item_id,sept_actual_sales
gandhidham,10000296,3.0
gaya,10000296,10.0
ghaziabad,10000296,44.1
goa,10000296,23.0
gonda,10000296,2.0
gorakhpur,10000296,22.0
gulbarga,10000296,6.0
guntur,10000296,11.0
gurgaon,10000296,126.0
guwahati,10000296,68.0
gwalior,10000296,6.0
haldwani,10000296,28.0
hamirpur,10000296,1.0
hassan,10000296,4.0
hazaribagh,10000296,7.0
hisar,10000296,11.0
hoshiarpur,10000296,3.0
hubli,10000296,9.0
hyderabad,10000296,746.0
jabalpur,10000296,10.0
jaipur,10000296,68.0
jalandhar,10000296,12.0
jammu,10000296,27.0
jamnagar,10000296,1.0
jamshedpur,10000296,46.0
jaunpur,10000296,2.0
jhansi,10000296,6.0
jind,10000296,6.0
jodhpur,10000296,16.0
junagadh,10000296,1.0
kakinada,10000296,5.0
kanpur,10000296,68.0
karnal,10000296,5.0
khanna,10000296,1.0
kharagpur,10000296,5.0
kharar,10000296,10.0
kochi,10000296,9.0
kolhapur,10000296,4.0
kolkata,10000296,763.0
kota,10000296,7.0
kottayam,10000296,1.0
kurnool,10000296,6.0
lakhimpur,10000296,4.0
latur,10000296,1.0
lonavala,10000296,4.0
lucknow,10000296,119.0
ludhiana,10000296,16.0
madurai,10000296,1.0
mainpuri,10000296,4.0
mangaluru,10000296,6.0
manipal,10000296,6.0
mathura,10000296,3.0
meerut,10000296,23.0
mehsana,10000296,4.0
modinagar,10000296,3.0
moga,10000296,1.0
mohali,10000296,16.0
moradabad,10000296,5.0
mumbai,10000296,350.0
muzaffarnagar,10000296,9.0
muzaffarpur,10000296,7.0
mysore,10000296,14.0
nadiad,10000296,1.0
nagpur,10000296,17.0
nanded,10000296,2.0
nashik,10000296,5.0
navsari,10000296,2.0
nellore,10000296,12.0
nizamabad,10000296,6.0
noida,10000296,102.89999999999999
panchkula,10000296,3.0
panipat,10000296,8.0
pathankot,10000296,1.0
patiala,10000296,9.0
patna,10000296,69.0
phagwara,10000296,2.0
prayagraj,10000296,36.0
puducherry,10000296,2.0
pune,10000296,130.0
puri,10000296,10.0
purnia,10000296,6.0
raebareli,10000296,1.0
raipur,10000296,12.0
rajahmundry,10000296,5.0
rajkot,10000296,15.0
rajpura,10000296,1.0
rampur,10000296,2.0
ranchi,10000296,62.0
rewa,10000296,7.0
rewari,10000296,1.0
rohtak,10000296,11.0
saharanpur,10000296,4.0
sangli,10000296,1.0
satara,10000296,1.0
satna,10000296,3.0
shillong,10000296,12.0
shimoga,10000296,5.0
sikar,10000296,1.0
siliguri,10000296,7.0
sirsa,10000296,1.0
sitapur,10000296,2.0
solan,10000296,5.0
solapur,10000296,4.0
sonipat,10000296,7.0
sri ganganagar,10000296,2.0
sundar nagar,10000296,5.0
surat,10000296,15.0
thrissur,10000296,1.0
tiruchirappalli,10000296,2.0
tirupati,10000296,5.0
trivandrum,10000296,1.0
tumkur,10000296,8.0
udaipur,10000296,5.0
udupi,10000296,4.0
una,10000296,2.0
unnao,10000296,3.0
vadodara,10000296,30.0
vapi,10000296,3.0
varanasi,10000296,31.0
vellore,10000296,1.0
vijayawada,10000296,36.0
vizag,10000296,31.0
vizianagaram,10000296,2.0
vrindavan,10000296,1.0
warangal,10000296,18.0
yamunanagar,10000296,8.0
zirakpur,10000296,13.0
agra,10000867,653.0
ahmedabad,10000867,357.0
ahmednagar,10000867,1.0
ajmer,10000867,63.0
akola,10000867,14.0
aligarh,10000867,383.0
alwar,10000867,75.0
ambala,10000867,132.0
amravati,10000867,22.0
amritsar,10000867,463.0
anand,10000867,10.0
ankleshwar,10000867,8.0
asansol,10000867,153.0
aurangabad,10000867,36.0
ayodhya,10000867,213.0
baddi,10000867,41.0
bahadurgarh,10000867,309.0
ballari,10000867,19.0
barabanki,10000867,99.0
bardhaman,10000867,79.0
bareilly,10000867,198.0
batala,10000867,50.0
bathinda,10000867,60.0
begusarai,10000867,56.0
belgaum,10000867,29.0
bengaluru,10000867,3250.0
berhampur,10000867,123.0
bhagalpur,10000867,120.0
bharuch,10000867,15.0
bhavnagar,10000867,10.0
bhimavaram,10000867,12.0
bhiwadi,10000867,360.0
bhiwani,10000867,97.0
bhopal,10000867,340.0
bhubaneswar,10000867,845.0
bhuj,10000867,8.0
bidar,10000867,35.0
bijapur,10000867,19.0
bikaner,10000867,31.0
bokaro,10000867,66.0
chandigarh,10000867,1409.0
chandrapur,10000867,8.0
chennai,10000867,600.0
cuttack,10000867,217.0
darbhanga,10000867,54.0
davanagere,10000867,7.0
dehradun,10000867,1152.0
delhi,10000867,26878.0
deoghar,10000867,68.0
deoria,10000867,102.0
dewas,10000867,16.0
dhanbad,10000867,241.0
dharamshala,10000867,21.0
dharwad,10000867,28.0
durg,10000867,55.0
durgapur,10000867,99.0
eluru,10000867,21.0
faridabad,10000867,3097.0
farrukhabad,10000867,57.0
fatehpur,10000867,87.0
firozabad,10000867,50.0
firozpur,10000867,18.0
gandhidham,10000867,30.0
gaya,10000867,87.0
ghaziabad,10000867,4616.099999999999
goa,10000867,25.0
gonda,10000867,154.0
gorakhpur,10000867,754.0
gulbarga,10000867,60.0
guntur,10000867,26.0
gurgaon,10000867,7640.0
guwahati,10000867,607.0
gwalior,10000867,122.0
haldwani,10000867,221.0
hamirpur,10000867,31.0
hapur,10000867,92.0
haridwar,10000867,502.0
hassan,10000867,3.0
hazaribagh,10000867,35.0
hisar,10000867,166.0
hoshiarpur,10000867,90.0
hosur,10000867,8.0
hubli,10000867,29.0
hyderabad,10000867,1352.0
indore,10000867,294.0
jabalpur,10000867,110.0
jaipur,10000867,625.0
jalandhar,10000867,430.0
jalgaon,10000867,13.0
jammu,10000867,115.0
jamnagar,10000867,34.0
jamshedpur,10000867,766.0
jaunpur,10000867,103.0
jhansi,10000867,106.0
jind,10000867,60.0
jodhpur,10000867,62.0
junagadh,10000867,3.0
kaithal,10000867,40.0
kakinada,10000867,35.0
kalol,10000867,4.0
kanpur,10000867,1942.0
kapurthala,10000867,59.0
karnal,10000867,240.0
kashipur,10000867,3.0
khanna,10000867,31.0
kharagpur,10000867,164.0
kharar,10000867,569.0
kolhapur,10000867,17.0
kolkata,10000867,5933.0
kota,10000867,74.0
kotdwar,10000867,69.0
kurnool,10000867,15.0
kurukshetra,10000867,92.0
lakhimpur,10000867,49.0
latur,10000867,28.0
lonavala,10000867,6.0
lucknow,10000867,5035.0
ludhiana,10000867,380.0
mainpuri,10000867,42.0
manali,10000867,4.0
mangaluru,10000867,29.0
manipal,10000867,47.0
mathura,10000867,158.0
meerut,10000867,1006.0
mehsana,10000867,10.0
modinagar,10000867,103.0
moga,10000867,23.0
mohali,10000867,649.0
moradabad,10000867,222.0
morbi,10000867,1.0
mumbai,10000867,2735.0
muradnagar,10000867,2.0
muzaffarnagar,10000867,185.0
muzaffarpur,10000867,150.0
mysore,10000867,76.0
nadiad,10000867,6.0
nagpur,10000867,136.0
nanded,10000867,16.0
narmadapuram,10000867,3.0
nashik,10000867,41.0
navsari,10000867,8.0
nellore,10000867,30.0
nizamabad,10000867,1.0
noida,10000867,10770.9
palwal,10000867,148.0
panchkula,10000867,445.0
panipat,10000867,364.0
pathankot,10000867,78.0
patiala,10000867,160.0
patna,10000867,1152.0
phagwara,10000867,70.0
prayagraj,10000867,1144.0
puducherry,10000867,18.0
pune,10000867,966.0
puri,10000867,94.0
purnia,10000867,82.0
raebareli,10000867,114.0
raipur,10000867,161.0
rajahmundry,10000867,42.0
rajkot,10000867,51.0
rajpura,10000867,22.0
rampur,10000867,83.0
ranchi,10000867,438.0
ratlam,10000867,2.0
rewa,10000867,36.0
rewari,10000867,195.0
rishikesh,10000867,178.0
rohtak,10000867,385.0
roorkee,10000867,222.0
rudrapur,10000867,216.0
saharanpur,10000867,277.0
sangli,10000867,5.0
sangrur,10000867,12.0
satara,10000867,7.0
satna,10000867,19.0
shillong,10000867,101.0
shimoga,10000867,16.0
sikar,10000867,29.0
siliguri,10000867,108.0
sirsa,10000867,66.0
sitapur,10000867,77.0
solan,10000867,55.0
solapur,10000867,34.0
sonipat,10000867,759.0
sri ganganagar,10000867,22.0
sundar nagar,10000867,18.0
surat,10000867,67.0
tirupati,10000867,27.0
tumkur,10000867,14.0
udaipur,10000867,65.0
udupi,10000867,19.0
ujjain,10000867,31.0
una,10000867,42.0
unnao,10000867,38.0
vadodara,10000867,120.0
vapi,10000867,14.0
varanasi,10000867,1248.0
vellore,10000867,17.0
vijayawada,10000867,112.0
vizag,10000867,267.0
vizianagaram,10000867,40.0
vrindavan,10000867,139.0
warangal,10000867,31.0
yamunanagar,10000867,249.0
zirakpur,10000867,590.0
agra,10002072,4.0
aligarh,10002072,3.0
alwar,10002072,2.0
bareilly,10002072,4.0
bhiwadi,10002072,1.0
delhi,10002072,126.0
faridabad,10002072,9.0
ghaziabad,10002072,19.5
gorakhpur,10002072,1.0
gurgaon,10002072,61.0
gwalior,10002072,1.0
haldwani,10002072,2.0
kanpur,10002072,1.0
karnal,10002072,1.0
lucknow,10002072,11.0
mathura,10002072,2.0
meerut,10002072,5.0
moradabad,10002072,1.0
muzaffarnagar,10002072,1.0
noida,10002072,45.49999999999999
panipat,10002072,1.0
prayagraj,10002072,3.0
raebareli,10002072,1.0
rampur,10002072,1.0
rewari,10002072,1.0
rohtak,10002072,2.0
sitapur,10002072,1.0
sonipat,10002072,2.0
varanasi,10002072,1.0
vrindavan,10002072,1.0
yamunanagar,10002072,1.0
agra,10002610,104.0
ahmedabad,10002610,365.0
ahmednagar,10002610,7.0
ajmer,10002610,28.0
akola,10002610,20.0
aligarh,10002610,29.0
alwar,10002610,30.0
ambala,10002610,14.0
amravati,10002610,49.0
amritsar,10002610,106.0
anand,10002610,10.0
ankleshwar,10002610,5.0
asansol,10002610,11.0
aurangabad,10002610,27.0
ayodhya,10002610,16.0
baddi,10002610,4.0
bahadurgarh,10002610,28.0
barabanki,10002610,12.0
bardhaman,10002610,6.0
bareilly,10002610,23.0
batala,10002610,5.0
bathinda,10002610,8.0
begusarai,10002610,12.0
berhampur,10002610,1.0
bhagalpur,10002610,24.0
bharuch,10002610,17.0
bhavnagar,10002610,16.0
bhiwadi,10002610,71.0
bhiwani,10002610,8.0
bhopal,10002610,293.0
bhubaneswar,10002610,7.0
bhuj,10002610,5.0
bikaner,10002610,13.0
bokaro,10002610,26.0
chandigarh,10002610,154.0
chandrapur,10002610,25.0
cuttack,10002610,1.0
darbhanga,10002610,22.0
dehradun,10002610,108.0
delhi,10002610,4263.0
deoghar,10002610,11.0
deoria,10002610,2.0
dewas,10002610,14.0
dhanbad,10002610,16.0
durg,10002610,120.0
durgapur,10002610,12.0
faridabad,10002610,466.0
farrukhabad,10002610,4.0
fatehpur,10002610,2.0
firozabad,10002610,2.0
firozpur,10002610,5.0
gandhidham,10002610,9.0
gaya,10002610,22.0
ghaziabad,10002610,568.1999999999999
goa,10002610,25.0
gonda,10002610,9.0
gorakhpur,10002610,47.0
gurgaon,10002610,1927.0
guwahati,10002610,99.0
gwalior,10002610,51.0
haldwani,10002610,46.0
hamirpur,10002610,1.0
hapur,10002610,7.0
haridwar,10002610,22.0
hazaribagh,10002610,5.0
hisar,10002610,25.0
hoshiarpur,10002610,17.0
indore,10002610,281.0
jabalpur,10002610,100.0
jaipur,10002610,662.0
jalandhar,10002610,91.0
jalgaon,10002610,8.0
jammu,10002610,43.0
jamnagar,10002610,10.0
jamshedpur,10002610,45.0
jaunpur,10002610,8.0
jhansi,10002610,15.0
jind,10002610,6.0
jodhpur,10002610,51.0
kaithal,10002610,2.0
kalol,10002610,3.0
kanpur,10002610,377.0
kapurthala,10002610,5.0
karnal,10002610,29.0
kashipur,10002610,1.0
khanna,10002610,11.0
kharagpur,10002610,4.0
kharar,10002610,100.0
kolhapur,10002610,13.0
kolkata,10002610,1239.0
kota,10002610,47.0
kotdwar,10002610,5.0
kurukshetra,10002610,11.0
lakhimpur,10002610,2.0
lonavala,10002610,10.0
lucknow,10002610,725.0
ludhiana,10002610,126.0
mainpuri,10002610,4.0
manali,10002610,2.0
mathura,10002610,19.0
meerut,10002610,69.0
mehsana,10002610,6.0
modinagar,10002610,7.0
moga,10002610,5.0
mohali,10002610,86.0
moradabad,10002610,20.0
morbi,10002610,1.0
mumbai,10002610,2264.0
muzaffarnagar,10002610,11.0
muzaffarpur,10002610,22.0
nadiad,10002610,2.0
nagpur,10002610,284.0
nanded,10002610,17.0
narmadapuram,10002610,4.0
nashik,10002610,30.0
navsari,10002610,8.0
noida,10002610,1325.8
palwal,10002610,15.0
panchkula,10002610,47.0
panipat,10002610,25.0
pathankot,10002610,7.0
patiala,10002610,38.0
patna,10002610,225.0
phagwara,10002610,8.0
prayagraj,10002610,37.0
pune,10002610,714.0
puri,10002610,1.0
purnia,10002610,19.0
raebareli,10002610,7.0
raipur,10002610,309.0
rajkot,10002610,49.0
rajpura,10002610,6.0
rampur,10002610,16.0
ranchi,10002610,93.0
ratlam,10002610,7.0
rewa,10002610,10.0
rewari,10002610,18.0
rishikesh,10002610,10.0
rohtak,10002610,27.0
roorkee,10002610,9.0
rudrapur,10002610,31.0
saharanpur,10002610,24.0
sangli,10002610,3.0
sangrur,10002610,4.0
satara,10002610,8.0
satna,10002610,10.0
shillong,10002610,12.0
sikar,10002610,14.0
siliguri,10002610,20.0
sirsa,10002610,17.0
sitapur,10002610,7.0
solan,10002610,13.0
sonipat,10002610,56.0
sri ganganagar,10002610,16.0
sundar nagar,10002610,3.0
surat,10002610,71.0
udaipur,10002610,53.0
ujjain,10002610,17.0
una,10002610,3.0
unnao,10002610,9.0
vadodara,10002610,119.0
vapi,10002610,9.0
varanasi,10002610,58.0
vrindavan,10002610,12.0
yamunanagar,10002610,20.0
zirakpur,10002610,79.0
ajmer,10003268,1.0
bikaner,10003268,1.0
jaipur,10003268,23.0
jodhpur,10003268,1.0
kota,10003268,3.0
sikar,10003268,1.0
udaipur,10003268,1.0
agra,10004348,8.0
ahmedabad,10004348,59.0
ahmednagar,10004348,2.0
ajmer,10004348,5.0
aligarh,10004348,4.0
alwar,10004348,3.0
ambala,10004348,2.0
amravati,10004348,1.0
amritsar,10004348,13.0
anand,10004348,1.0
ankleshwar,10004348,1.0
asansol,10004348,7.0
aurangabad,10004348,1.0
ayodhya,10004348,2.0
baddi,10004348,1.0
bahadurgarh,10004348,2.0
ballari,10004348,1.0
barabanki,10004348,1.0
bardhaman,10004348,7.0
bareilly,10004348,5.0
batala,10004348,3.0
bathinda,10004348,2.0
begusarai,10004348,1.0
bengaluru,10004348,230.0
bhagalpur,10004348,2.0
bharuch,10004348,3.0
bhavnagar,10004348,2.0
bhiwadi,10004348,4.0
bhiwani,10004348,1.0
bhopal,10004348,22.0
bhubaneswar,10004348,29.0
bidar,10004348,2.0
bikaner,10004348,1.0
bokaro,10004348,1.0
chandigarh,10004348,28.0
chandrapur,10004348,3.0
chennai,10004348,71.0
coimbatore,10004348,7.0
cuttack,10004348,3.0
darbhanga,10004348,2.0
dehradun,10004348,47.0
delhi,10004348,360.0
deoria,10004348,1.0
dewas,10004348,1.0
dhanbad,10004348,3.0
dharamshala,10004348,1.0
dharwad,10004348,1.0
durg,10004348,1.0
durgapur,10004348,5.0
eluru,10004348,1.0
erode,10004348,1.0
faridabad,10004348,36.0
fatehpur,10004348,2.0
firozabad,10004348,2.0
gandhidham,10004348,3.0
gaya,10004348,1.0
ghaziabad,10004348,48.599999999999994
goa,10004348,23.0
gonda,10004348,1.0
gorakhpur,10004348,8.0
gulbarga,10004348,2.0
guntur,10004348,5.0
gurgaon,10004348,154.0
guwahati,10004348,25.0
