city_norm,item_id,month,forecasted_qty
rajkot,10000295,2025-12-01,38.431473
rajpura,10000295,2025-12-01,12.976292
rampur,10000295,2025-12-01,26.164413
ranchi,10000295,2025-12-01,1044.0824
ratlam,10000295,2025-12-01,10.36642
rewa,10000295,2025-12-01,19.415573
rewari,10000295,2025-12-01,40.47424
rishikesh,10000295,2025-12-01,30.916569
rohtak,10000295,2025-12-01,85.09034
roorkee,10000295,2025-12-01,39.798122
rudrapur,10000295,2025-12-01,39.81388
saharanpur,10000295,2025-12-01,24.665096
salem,10000295,2025-12-01,10.144649
sangli,10000295,2025-12-01,7.4806156
sangrur,10000295,2025-12-01,11.147026
satara,10000295,2025-12-01,17.140686
satna,10000295,2025-12-01,14.943416
shillong,10000295,2025-12-01,51.937798
shimoga,10000295,2025-12-01,14.253029
sikar,10000295,2025-12-01,14.798488
siliguri,10000295,2025-12-01,225.72081
sirsa,10000295,2025-12-01,13.452259
sitapur,10000295,2025-12-01,23.41384
solan,10000295,2025-12-01,24.787746
solapur,10000295,2025-12-01,18.377758
sonipat,10000295,2025-12-01,115.21687
sri ganganagar,10000295,2025-12-01,15.042197
sundar nagar,10000295,2025-12-01,10.767579
surat,10000295,2025-12-01,104.30996
thrissur,10000295,2025-12-01,16.384047
tiruchirappalli,10000295,2025-12-01,9.917746
tirupati,10000295,2025-12-01,12.267691
trivandrum,10000295,2025-12-01,20.077082
tumkur,10000295,2025-12-01,11.94159
udaipur,10000295,2025-12-01,62.005898
udupi,10000295,2025-12-01,17.480722
ujjain,10000295,2025-12-01,19.141138
una,10000295,2025-12-01,10.767579
unnao,10000295,2025-12-01,17.361
vadodara,10000295,2025-12-01,260.74765
vapi,10000295,2025-12-01,18.395512
varanasi,10000295,2025-12-01,285.91708
vellore,10000295,2025-12-01,15.694303
vijayawada,10000295,2025-12-01,36.695545
vizag,10000295,2025-12-01,84.285324
vizianagaram,10000295,2025-12-01,13.602281
vrindavan,10000295,2025-12-01,36.396687
warangal,10000295,2025-12-01,16.386728
yamunanagar,10000295,2025-12-01,36.18005
zirakpur,10000295,2025-12-01,202.05511
agra,10000296,2025-12-01,21.585022
ahmedabad,10000296,2025-12-01,80.400024
ahmednagar,10000296,2025-12-01,5.3070736
ajmer,10000296,2025-12-01,8.34124
akola,10000296,2025-12-01,5.473061
aligarh,10000296,2025-12-01,14.3069315
alwar,10000296,2025-12-01,10.209403
ambala,10000296,2025-12-01,5.473061
amravati,10000296,2025-12-01,4.5815735
amritsar,10000296,2025-12-01,16.099382
anand,10000296,2025-12-01,5.5331264
ankleshwar,10000296,2025-12-01,5.473061
asansol,10000296,2025-12-01,8.994594
aurangabad,10000296,2025-12-01,6.0942235
ayodhya,10000296,2025-12-01,6.6090484
baddi,10000296,2025-12-01,2.6902637
bahadurgarh,10000296,2025-12-01,6.7105803
ballari,10000296,2025-12-01,9.807354
barabanki,10000296,2025-12-01,5.473061
bardhaman,10000296,2025-12-01,16.80556
bareilly,10000296,2025-12-01,11.507202
batala,10000296,2025-12-01,5.3070736
bathinda,10000296,2025-12-01,5.473061
begusarai,10000296,2025-12-01,7.7905965
belgaum,10000296,2025-12-01,7.252264
bengaluru,10000296,2025-12-01,293.9164
berhampur,10000296,2025-12-01,7.0443025
bhagalpur,10000296,2025-12-01,11.095068
bhavnagar,10000296,2025-12-01,3.835467
bhimavaram,10000296,2025-12-01,2.3107336
bhiwadi,10000296,2025-12-01,10.871664
