tcpl_plant_code,item_id,forecasted_qty
1208.0,10019702,13.438464
1208.0,10037403,37.434
1208.0,10037406,269.37238
1208.0,10037407,120.11174
1208.0,10065362,222.77087
1208.0,10073508,87.0851
1208.0,10073514,288.24225
1208.0,10073515,57.366634
1208.0,10106292,39.414055
1208.0,10110034,74.60489
1208.0,10113337,33.856403
1208.0,10140052,124.59044
1208.0,10156714,21.047358
1208.0,10156912,53.90678
1208.0,10159086,284.29562
1208.0,10159513,57.41835
1208.0,10159658,29.153173
1208.0,10159797,113.65551
1208.0,10159798,225.4718
1208.0,10159799,53.307735
1208.0,10160080,39.638874
1208.0,10160081,13.739289
1208.0,10160085,0.07634106
1208.0,10165592,686.42413
1208.0,10179487,38.0325
1208.0,10179739,111.79454
1208.0,10185710,12.151762
1208.0,10185712,26.819527
1208.0,10192259,165.97346
1208.0,10246345,27.910957
1208.0,10246467,93.54744
1211.0,10000197,761.4073
1211.0,10000295,2167.5916
1211.0,10000296,203.8311
1211.0,10000867,5620.723
1211.0,10002610,1089.5953
1211.0,10004348,190.43675
1211.0,10004350,626.23395
1211.0,10004351,757.4512
1211.0,10004353,182.42714
1211.0,10005131,1945.8715
1211.0,10005305,450.12534
1211.0,10005887,59.9102
1211.0,10005893,649.0079
1211.0,10006105,651.3827
1211.0,10006205,298.74112
1211.0,10006207,1716.389
1211.0,10006611,656.5288
1211.0,10007027,7177.833
1211.0,10007028,667.0604
1211.0,10007377,1868.4421
1211.0,10007924,2113.8127
1211.0,10011132,83.11779
1211.0,10015803,49.571728
1211.0,10015807,686.4638
1211.0,10015808,274.38824
1211.0,10037403,208.90884
1211.0,10037406,1321.6791
1211.0,10037407,759.5658
1211.0,10062514,11.716617
1211.0,10065362,1528.1257
1211.0,10073508,331.29904
1211.0,10073514,651.73346
1211.0,10073515,310.7984
1211.0,10110034,245.89977
1211.0,10113337,104.701836
1211.0,10140052,701.7936
1211.0,10144355,2.778991
1211.0,10156714,30.996868
1211.0,10156912,125.44649
1211.0,10159086,1316.0125
1211.0,10159513,98.21862
1211.0,10159658,98.54236
1211.0,10159659,7.8481865
1211.0,10159797,163.89969
1211.0,10159798,349.37265
1211.0,10159799,71.55493
1211.0,10160080,178.6351
1211.0,10160081,79.28445
1211.0,10160085,5.7859316
1211.0,10165592,3631.713
1211.0,10179487,235.09145
1211.0,10179739,436.08405
1211.0,10185710,77.8758
1211.0,10185712,92.186455
1211.0,10192259,666.60785
1211.0,10218950,298.43625
1211.0,10246467,46.92896
1211.0,10246630,92.64751
1213.0,10000197,21.85537
1213.0,10000295,593.49756
1213.0,10000296,53.245766
1213.0,10000867,1167.3815
1213.0,10002610,65.43114
1213.0,10004348,25.825274
1213.0,10004351,35.461018
1213.0,10004352,17.659153
1213.0,10004353,18.379835
1213.0,10005131,366.54718
1213.0,10005305,27.257843
1213.0,10005887,10.418634
1213.0,10005893,44.786144
1213.0,10006105,348.53928
1213.0,10006205,86.795135
1213.0,10006207,64.83889
1213.0,10006611,45.803055
1213.0,10007027,1416.9175
1213.0,10007028,4.120571
1213.0,10007377,685.81714
