tcpl_plant_code,item_id,forecasted_qty
1211.0,10002610,1087.2618
1211.0,10004348,209.31668
1211.0,10004350,638.8257
1211.0,10004351,746.0561
1211.0,10004353,204.58818
1211.0,10005131,1783.7266
1211.0,10005305,485.8035
1211.0,10005887,75.6248
1211.0,10005893,669.07715
1211.0,10006105,627.4988
1211.0,10006205,305.1423
1211.0,10006207,1533.8097
1211.0,10006611,656.21185
1211.0,10007027,7405.7856
1211.0,10007028,695.2238
1211.0,10007377,1811.7383
1211.0,10007924,2551.9688
1211.0,10011132,105.60043
1211.0,10015803,77.004486
1211.0,10015807,727.61865
1211.0,10015808,265.4041
1211.0,10037403,233.00746
1211.0,10037406,1284.4958
1211.0,10037407,695.98224
1211.0,10062514,21.913424
1211.0,10065362,1566.5231
1211.0,10073508,380.91092
1211.0,10073514,742.8539
1211.0,10073515,337.1548
1211.0,10110034,268.27768
1211.0,10113337,125.394455
1211.0,10140052,708.06433
1211.0,10144355,4.552926
1211.0,10156714,50.23026
1211.0,10156912,152.08408
1211.0,10159086,1211.1556
1211.0,10159513,132.91367
1211.0,10159658,110.327484
1211.0,10159659,17.370674
1211.0,10159797,170.26707
1211.0,10159798,340.6358
1211.0,10159799,95.23976
1211.0,10160080,202.00047
1211.0,10160081,96.53725
1211.0,10160085,10.317719
1211.0,10165592,3457.1724
1211.0,10179487,244.79143
1211.0,10179739,443.9617
1211.0,10185710,106.136665
1211.0,10185712,120.296906
1211.0,10192259,638.03406
1211.0,10218950,324.8088
1211.0,10246467,52.402386
1211.0,10246630,124.12445
1213.0,10000197,27.136005
1213.0,10000295,471.96622
1213.0,10000296,47.526062
1213.0,10000867,982.7788
1213.0,10002610,80.36343
1213.0,10004348,26.608208
1213.0,10004351,34.76883
1213.0,10004352,24.192997
1213.0,10004353,24.030323
1213.0,10005131,327.37308
1213.0,10005305,28.168634
1213.0,10005887,14.302351
1213.0,10005893,41.631332
1213.0,10006105,284.31796
1213.0,10006205,75.82275
1213.0,10006207,58.12948
1213.0,10006611,46.38305
1213.0,10007027,1285.1223
1213.0,10007028,7.9743423
1213.0,10007377,563.67804
1213.0,10007924,910.0513
1213.0,10009040,10.130186
1213.0,10011132,15.529815
1213.0,10015803,8.671854
1213.0,10015807,144.79463
1213.0,10015808,63.436203
1213.0,10037403,10.224485
1213.0,10037406,126.138
1213.0,10037407,59.736065
1213.0,10062514,20.037872
1213.0,10065362,53.35895
1213.0,10073508,17.378828
1213.0,10073514,105.56012
1213.0,10073515,49.59055
1213.0,10074853,27.49024
1213.0,10106292,19.437737
1213.0,10110034,30.237495
1213.0,10113337,16.250813
1213.0,10140052,31.585388
1213.0,10144356,6.133973
1213.0,10156714,29.611868
1213.0,10156912,14.47348
1213.0,10159513,24.446665
1213.0,10159658,9.496304
1213.0,10159797,33.951984
1213.0,10159798,26.838758
1213.0,10159799,33.415558
1213.0,10160080,29.096964
1213.0,10160081,13.031083
1213.0,10165592,590.4297
1213.0,10185710,7.720025
1213.0,10185712,22.854204
1213.0,10246345,22.45695
1213.0,10246467,72.8431
1214.0,10000197,1781.3209
1214.0,10000295,10133.877
1214.0,10000296,458.32693
1214.0,10000867,30641.33
1214.0,10002072,149.49529
1214.0,10002610,5038.738
1214.0,10004348,397.2828
1214.0,10004350,984.68317
1214.0,10004351,1619.5869
1214.0,10004352,32.787525
1214.0,10004353,325.40295
1214.0,10005131,8582.563
1214.0,10005305,1460.6537
1214.0,10005887,111.630875
1214.0,10005893,1144.873
1214.0,10006105,1437.5612
1214.0,10006205,3335.6973
1214.0,10006207,4276.7646
1214.0,10006611,2091.6648
1214.0,10007027,18764.861
1214.0,10007028,2138.5198
1214.0,10007377,6359.589
1214.0,10007924,17141.94
1214.0,10009040,24.791695
1214.0,10011132,110.66631
1214.0,10015803,0.79866076
1214.0,10015807,2443.527
1214.0,10015808,939.44867
1214.0,10019702,1.9919221
1214.0,10037403,196.96758
1214.0,10037406,3231.0083
1214.0,10037407,1492.1113
1214.0,10062514,84.21936
1214.0,10065362,8107.209
1214.0,10073508,630.4315
1214.0,10073514,2702.5378
