city_norm,item_id,oct_actual_sales
manipal,10000295,30.0
mathura,10000295,78.0
meerut,10000295,287.0
mehsana,10000295,11.0
modinagar,10000295,19.0
moga,10000295,14.0
mohali,10000295,172.0
moradabad,10000295,96.0
morbi,10000295,1.0
mumbai,10000295,2979.0
muzaffarnagar,10000295,39.0
muzaffarpur,10000295,341.0
mysore,10000295,63.0
nadiad,10000295,4.0
nagpur,10000295,268.0
nanded,10000295,7.0
narmadapuram,10000295,10.0
nashik,10000295,55.0
navsari,10000295,17.0
nellore,10000295,14.0
nizamabad,10000295,7.0
noida,10000295,4345.599999999999
ongole,10000295,1.0
palwal,10000295,29.0
panchkula,10000295,13.0
panipat,10000295,70.0
pathankot,10000295,3.0
patiala,10000295,7.0
patna,10000295,3746.0
phagwara,10000295,7.0
prayagraj,10000295,532.0
puducherry,10000295,19.0
pune,10000295,1916.0
puri,10000295,84.0
purnia,10000295,217.0
raebareli,10000295,60.0
raipur,10000295,249.0
rajahmundry,10000295,17.0
rajkot,10000295,57.0
rajpura,10000295,11.0
rampur,10000295,29.0
ranchi,10000295,1677.0
ratlam,10000295,15.0
rewa,10000295,27.0
rewari,10000295,39.0
rishikesh,10000295,70.0
rohtak,10000295,99.0
roorkee,10000295,45.0
rudrapur,10000295,52.0
saharanpur,10000295,39.0
salem,10000295,2.0
sangli,10000295,13.0
sangrur,10000295,4.0
satara,10000295,12.0
satna,10000295,24.0
shillong,10000295,97.0
shimoga,10000295,13.0
sikar,10000295,16.0
siliguri,10000295,319.0
sirsa,10000295,13.0
sitapur,10000295,36.0
solan,10000295,10.0
solapur,10000295,19.0
sonipat,10000295,151.0
sri ganganagar,10000295,4.0
sundar nagar,10000295,3.0
surat,10000295,145.0
thrissur,10000295,32.0
tiruchirappalli,10000295,5.0
tirupati,10000295,12.0
trivandrum,10000295,34.0
tumkur,10000295,11.0
udaipur,10000295,81.0
udupi,10000295,14.0
ujjain,10000295,31.0
una,10000295,14.0
unnao,10000295,26.0
vadodara,10000295,335.0
vapi,10000295,24.0
varanasi,10000295,511.0
vellore,10000295,13.0
vijayawada,10000295,63.0
vizag,10000295,145.0
vizianagaram,10000295,11.0
vrindavan,10000295,53.0
warangal,10000295,11.0
yamunanagar,10000295,37.0
zirakpur,10000295,36.0
agra,10000296,25.0
ahmedabad,10000296,78.0
ahmednagar,10000296,2.0
ajmer,10000296,10.0
akola,10000296,2.0
aligarh,10000296,15.0
alwar,10000296,12.0
ambala,10000296,3.0
amravati,10000296,2.0
amritsar,10000296,14.0
anand,10000296,5.0
ankleshwar,10000296,1.0
asansol,10000296,21.0
aurangabad,10000296,9.0
ayodhya,10000296,4.0
baddi,10000296,4.0
bahadurgarh,10000296,8.0
ballari,10000296,13.0
barabanki,10000296,3.0
bardhaman,10000296,17.0
bareilly,10000296,19.0
batala,10000296,3.0
bathinda,10000296,1.0
begusarai,10000296,2.0
belgaum,10000296,9.0
bengaluru,10000296,401.0
berhampur,10000296,5.0
bhagalpur,10000296,20.0
bharuch,10000296,2.0
bhavnagar,10000296,6.0
bhimavaram,10000296,2.0
bhiwadi,10000296,16.0
bhiwani,10000296,3.0
bhubaneswar,10000296,36.0
bhuj,10000296,1.0
bidar,10000296,8.0
bijapur,10000296,4.0
bijnor,10000296,2.0
bikaner,10000296,11.0
bilaspur,10000296,3.0
bokaro,10000296,2.0
chandigarh,10000296,19.0
chandrapur,10000296,3.0
chennai,10000296,144.0
coimbatore,10000296,8.0
cuttack,10000296,8.0
darbhanga,10000296,4.0
davanagere,10000296,6.0
delhi,10000296,364.0
deoghar,10000296,8.0
deoria,10000296,2.0
dhanbad,10000296,21.0
dharamshala,10000296,2.0
dharwad,10000296,4.0
durg,10000296,12.0
durgapur,10000296,15.0
eluru,10000296,7.0
faridabad,10000296,47.0
farrukhabad,10000296,2.0
fatehpur,10000296,6.0
firozabad,10000296,4.0
firozpur,10000296,2.0
gandhidham,10000296,3.0
gaya,10000296,9.0
ghaziabad,10000296,56.699999999999996
