city_norm,item_id,month,lag_1_m3,lag_2_m3,rolling_mean_3m_m3,item_city_te,monthly_mrp_median,month_sin,month_cos,item_te,city_te,is_intermittent,month_num,own_price_avg,own_mrp_avg,own_price_sales_wt,comp_price_avg,comp_price_sales_wt,own_wt_osa_avg,own_estimated_budget_consumed_v2,gc_campaign_type,comp_total_impressions,comp_ad_impressions,comp_ad_ratio,platform_revenue_mom_lag1,platform_revenue_log_lag1,city_count_mom_lag1,store_count_mom_lag1,category_size_mom_lag1,brand_category_share_lag1,brand_share_change_lag1,forecasted_qty
solapur,10004351,2025-12-01,1.0,3.0,1.666666666666515,1.5,225.0,-2.4492935982947064e-16,1.0,54.276780544296464,4.54601226993865,0,12,220.05983725196668,231.49268276993334,219.599663987,177.422093837,184.31225249,1.0,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,5.2111807
sonipat,10004351,2025-12-01,19.0,17.0,17.333333333333183,20.428571428571427,240.0,-2.4492935982947064e-16,1.0,54.276780544296464,50.285714285714285,0,12,223.64044367903335,235.32904679886667,224.23823574899998,175.28586316226668,178.6551157351579,0.8764865108900001,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,22.95432
sri ganganagar,10004351,2025-12-01,1.0,5.0,3.666666666666515,3.0,240.0,-2.4492935982947064e-16,1.0,54.276780544296464,6.075555555555556,0,12,228.0,240.0,228.0,176.12931216926665,185.555555556,1.0,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,5.365296
sundar nagar,10004351,2025-12-01,4.0,4.0,2.666666666666515,2.3333333333333335,240.0,-2.4492935982947064e-16,1.0,54.276780544296464,4.105022831050229,0,12,228.0,240.0,228.0,171.3211451246786,180.08333333333334,0.9333333333333333,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,5.365296
surat,10004351,2025-12-01,38.0,42.0,46.99999999999985,29.714285714285715,465.0,-2.4492935982947064e-16,1.0,54.276780544296464,24.744479495268138,0,12,221.2957222727,232.79113285883335,221.33007651465792,176.61887806243334,176.41341703076318,0.9167478633533332,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,33.85142
tiruchirappalli,10004351,2025-12-01,1.0,1.0,,1.0,215.0,-2.4492935982947064e-16,1.0,54.276780544296464,4.7076271186440675,0,12,205.0,215.0,205.0,172.24154589386956,181.0,0.7666666666666667,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,4.9781294
tirupati,10004351,2025-12-01,2.0,2.0,2.3333333333331816,1.8333333333333333,232.5,-2.4492935982947064e-16,1.0,54.276780544296464,4.938775510204081,0,12,224.2667366632,236.00007499626665,228.0,175.93151435826667,183.64448201049998,0.95832708365,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,5.2111807
trivandrum,10004351,2025-12-01,4.0,4.0,2.9999999999998486,3.25,225.0,-2.4492935982947064e-16,1.0,54.276780544296464,9.323383084577115,0,12,214.0,225.0,214.0,172.5841097308261,170.5,0.7666666666666667,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,5.1052585
tumkur,10004351,2025-12-01,3.0,1.0,1.666666666666515,1.8333333333333333,225.0,-2.4492935982947064e-16,1.0,54.276780544296464,4.0,0,12,220.46153846153845,231.92307692307693,218.66666666666666,170.18333333346152,164.44444444466663,0.43333333333333335,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,2.4086065
udaipur,10004351,2025-12-01,14.0,24.0,18.333333333333183,12.846153846153847,450.0,-2.4492935982947064e-16,1.0,54.276780544296464,20.408403361344536,0,12,214.27236728896665,225.25507068066665,214.7395929445714,170.31381688353335,169.22199048185715,0.8373263974966666,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,17.09002
