item_id,item_name
10160082,Tata Tea Gold Liquid Instant Tea Premix Lemon Honey
10160085,Tetley Kahwa Green Tea Bags
10160329,Tata Tea Gold Kashmiri Kahwa Instant Tea Premix
10160329,Tata Tea Gold Liquid Instant Tea Premix Kashmiri Kahwa
10165592,Tata Tea Agni Elaichi Tea Leaves
10165592,Tata Tea Agni Elaichi Tea Leaves(Packet)
10179487,Tata Tea Agni Tea
10179739,"Organic India Tulsi Detox Kahwa (Tea, Infusion Bags)(Box)"
10185710,Tetley Ginger Mint & Lemon Flavoured Green Tea Bags(Box)
10185712,Tetley Lemon & Honey Flavoured Green Tea Bags(Box)
10192259,Tata Tea Premium Care Leaf Tea
10192259,Tata Tea Premium Care Leaf Tea(Pack)
10192259,Tata Tea Premium Care Leaf Black Tea
10192259,Tata Tea Premium Leaf Black Tea
10218950,Tata Tea Premium Care Leaf Tea(Pouch)
10218950,Tata Tea Premium Care Tea(Pouch)
10246345,"Tetley Slim Care Green Tea Bags (With L-Carnitine, Ginger, Mint & Lemon)(Box)"
10246467,"Tetley Slim Care Green Tea Bags (With L-Carnitine, Lemon & Honey)(Box)"
10246630,Tetley Classic Green Tea Bags (With Added Vitamin C)(Pouch)
10246630,Tetley Classic Green Tea Bags(Pouch)
10249409,Tata Tea Gold Instant Premix (Masala Flavour)(Box)
10249452,Tata Tea Gold All in 1 Instant Premix (Cardamom)(Box)
10250406,Tetley Japanese Matcha Tea(Pouch)
10250406,Tetley Japanese Matcha Green Tea (Powder)(Pouch)
