city_norm,item_id,month,gc_campaign_type,own_direct_sales_v2,own_indirect_sales_v2,own_estimated_budget_consumed_v2,comp_total_impressions,comp_ad_impressions,comp_organic_impressions,comp_generic_kw_ad_impr,comp_generic_kw_org_impr,comp_brand_kw_ad_impr,comp_brand_kw_org_impr,comp_comp_kw_ad_impr,comp_comp_kw_org_impr,comp_kw_weighted_impr,comp_generic_kw_weighted_ad_impr,comp_generic_kw_weighted_org_impr,comp_brand_kw_weighted_ad_impr,comp_brand_kw_weighted_org_impr,comp_comp_kw_weighted_ad_impr,comp_comp_kw_weighted_org_impr,own_median_most_viewed_position,own_median_ad_rank,own_median_org_rank,comp_ad_ratio,comp_brand_visibility_ratio,comp_generic_visibility_ratio,own_best_viewed_position,num_comp_pids,comp_ad_share_monthly
chennai,10011100,2025-10-01,Product Booster,5035296301.310533,0.0,948777262.7177806,1084993.5579,649067.2878,435926.2701,613812.4572000001,343775.2137,14437.8492,38253.2757,20816.9814,53897.7807,1823.349651375,1141.201469826,654.473596155,7.506046425,15.85546485,1.328451405,2.984622714,4.185869084421053,9.296296296296296,25.324324324324323,0.5710933906870967,0.016845177257096774,0.5323708247741935,1.0,19,0.5982222503295475
chennai,10015805,2025-10-01,Product Booster,2010278182.3655417,0.0,380087471.95177853,1304544.1338,515195.0568,789349.077,451074.177,613837.3914,47341.9296,72929.5488,16778.9502,102582.1368,2060.205133842,853.023067812,1141.94141226,26.03806128,31.909238226,1.321197372,5.972156892,4.828769173296297,7.962962962962963,10.851851851851851,0.37836540230967747,0.03090819835096774,0.3341973624032258,1.0,20,0.3949234398833951
chennai,10015807,2025-10-01,Recommendation Ads,75641474.56564963,12490316.08464334,14370409.517475676,3119368.3712,710934.7440000001,2408433.6272,683205.8704,2199576.2832,953.9168,1206.5472,26774.9568,207650.7968,9156.972762464,2170.595327648,6935.517555152,0.038156672,0.038828800000000004,5.17884304,45.604051152,0.0,0.0,30.625,0.22222821738419354,0.000311629098196129,0.2132126978751613,0.0,24,0.2279098392366235
chennai,10015808,2025-10-01,Product Booster,1674369843.349254,872585451.1919388,2604145056.49954,17704317.3125,4057624.3981,13646692.9144,3898228.4705,12465818.5561,5425.4018,6707.4644,153970.5258,1174166.8939,51982.451476956,12382.182214766,39316.068287405,0.217016072,0.215280884,29.518383986,254.250293843,9.442507492505495,11.488505747068965,36.4139194139011,0.22368194675806452,0.0003117565209409677,0.2145528932516129,1.0,26,0.22918841356481703
chennai,10015808,2025-10-01,Recommendation Ads,23150813.12551687,3773521.039347936,4324312.084127398,3112847.0,713428.4656,2399418.5344000002,685402.808,2191792.2736,953.9168,1179.3344,27071.7408,206446.9264,9139.771688256,2177.086982816,6912.71530328,0.038156672,0.037851584,5.190045536,44.703348368,0.0,9.09375,32.875,0.22368194675806452,0.0003117565209409677,0.2145528932516129,0.0,26,0.22918841356481703
chennai,10037406,2025-10-01,Product Booster,18797490.256584976,11545445.102370452,4949160.295945432,959718.3092,185117.9098,774600.3994,166857.8568,696590.208,2186.6232,1305.2784,16073.4298,76704.913,644.229722116,175.730007528,455.73327711,1.20264276,0.566307128,0.960132232,10.037355358000001,4.080459770120689,6.094827586206897,17.612068965517242,0.1865805718135484,0.0016587312199999999,0.16775786471870968,1.0,14,0.19288775469367694
chennai,10037406,2025-10-01,Recommendation Ads,199815544.66377133,119609173.63397004,141941198.2930947,976265.1766,188309.5979,787955.5787,169734.7164,708600.384,2224.3235999999997,1327.7832,16350.5579,78027.4115,655.337131118,178.759835244,463.590747405,1.22337798,0.576071044,0.976686236,10.210413209,0.0,6.094827586206897,15.398305084745763,0.18658057181354837,0.0016587312199999999,0.16775786471870968,0.0,14,0.19288775469367694
chennai,10037407,2025-10-01,Product Booster,613932593.736149,56870528.23201663,269642355.69216263,1935967.293,373427.5077,1562539.7853,336592.5732,1405190.592,4410.9468,2633.0616,32423.987699999998,154716.1317,1299.566853234,354.489842772,919.324024515,2.42602074,1.142378172,1.936818468,20.247768567,1.9457297213247864,3.1666666666666665,7.861111111111111,0.18658196610387096,0.00165873122,0.1677591149251613,1.0,14,0.192889368043678
chennai,10037407,2025-10-01,Recommendation Ads,60821114.25287631,37995521.90071931,25066961.251643203,1025897.198,197884.6622,828012.5358,178365.2952,744630.912,2337.4248,1395.2975999999999,17181.9422,81986.3262,688.659358124,187.849318392,487.16315829,1.28558364,0.605362792,1.026348248,10.729586762,0.0,3.1666666666666665,17.943548387096776,0.18658196610387096,0.0016587312199999999,0.1677591149251613,0.0,14,0.19288936804367798
chennai,10050190,2025-10-01,Product Booster,950924757.5718372,0.0,614604677.2536424,1721100.214,813931.7212,907168.4928,706902.3774,705627.6382,71889.5968,83786.4438,35139.747,117754.4108,2688.25720039,1328.256400534,1274.946732898,39.53927824,36.526138466,2.187708176,6.800942076,4.802090592341464,13.127659574468085,27.46875,0.4487241999967742,0.029565289567419356,0.39793885591290323,1.0,18,0.47291361338474625
