city_norm,item_id,month,own_avg_osa_wt,own_weighted_osa_wt,own_avg_listed_osa_wt,own_weighted_listed_osa_wt,comp_avg_osa_wt,comp_weighted_osa_wt,comp_avg_listed_osa_wt,comp_weighted_listed_osa_wt,own_osa_avg,own_wt_osa_avg,own_listed_osa_avg,own_wt_listed_osa_avg,comp_osa_avg,comp_wt_osa_avg,comp_listed_osa_avg,comp_wt_listed_osa_avg,own_avg_osa_min,own_wt_osa_min,own_listed_osa_min,own_wt_listed_osa_min,comp_avg_osa_min,comp_wt_osa_min,comp_listed_osa_min,comp_wt_listed_osa_min,own_avg_osa_max,own_listed_osa_max,comp_avg_osa_max,comp_listed_osa_max,num_days_own_oos,num_days_own_wt_oos,num_days_own_listed_oos,num_days_comp_oos,num_days_comp_wt_oos,num_days_comp_listed_oos,num_days_comp_oos_while_tata_ok
pune,10006205,2025-10-01,0.9435481203703703,0.938758035374074,0.9651177685185187,0.9624713719074073,0.6902269292308055,0.6756391947768519,0.9117972101823706,0.9078557175416664,0.9427592580645161,0.9382535166709678,0.9647814193548387,0.9622076447870967,0.6897783443440967,0.675187685183871,0.911181028131129,0.9074251428580645,0.890244,0.8826641877,0.938272,0.9359325331,0.64732845679,0.6238017651,0.853092901235,0.8494426995,0.987654,0.987654,0.714890225,0.9561842125,0,0,0,31,31,0,31
pune,10006207,2025-10-01,0.9380999579831933,0.9328165933509804,0.9380999579831933,0.9328165933509804,0.6706036967864678,0.6542142998061625,0.90392312298328,0.9031818068568624,0.9384172903225806,0.933629711032258,0.9384172903225806,0.933629711032258,0.6718946904352259,0.6554648385548387,0.9054678553973226,0.9045464740354839,0.864198,0.8661182523,0.864198,0.8661182523,0.613140864198,0.5870998537,0.842417345679,0.8370859181,0.987654,0.987654,0.702534160494,0.956987432099,0,0,0,31,31,0,31
pune,10006611,2025-10-01,0.9164775944444444,0.9038084064233333,0.9419092,0.936534959905,0.7134238462273278,0.7115176581183332,0.8894129090971667,0.8813634148561111,0.9192722580645162,0.9089892450838709,0.9430106129032259,0.9392464145032259,0.7117996303538064,0.7095300025032257,0.8878456913965485,0.8790630476806451,0.814815,0.8143215009,0.835443,0.8551925154,0.665929780488,0.661628489,0.853296036585,0.8315066904,0.975309,0.9875,0.750114728395,0.921028395062,0,0,0,31,31,0,31
pune,10007027,2025-10-01,0.9829201224814422,0.9826558714945388,0.9829201224814422,0.9826558714945388,0.9450554997193706,0.9357231362177092,0.982246474601816,0.9824132115852597,0.9825256451612903,0.9823946448451613,0.9825256451612903,0.9823946448451613,0.9473449787299678,0.9378546388516129,0.9826708215558709,0.9824824597451612,0.950617,0.9498611153,0.950617,0.9498611153,0.917695506173,0.9027420315,0.962962962963,0.959015641,1.0,1.0,0.967479695122,0.993827160494,0,0,0,0,0,0,0
pune,10007028,2025-10-01,0.8216878726415093,0.7969799519136794,0.8481340707547169,0.8274750155707549,0.7424300398120425,0.7298724160882077,0.9140890385906084,0.9082625790377359,0.8017746451612904,0.7768496077516128,0.8339721612903226,0.8135671410903227,0.7416472507096129,0.728728093516129,0.9134478772578064,0.906923998016129,0.604938,0.5726714271,0.649351,0.6249995427,0.712883268293,0.6994785062,0.8861857,0.8778485918,0.987654,0.987654,0.768520283951,0.940983148148,15,15,14,31,31,0,16
pune,10007377,2025-10-01,0.9637320542222224,0.9622539469505779,0.9637320542222224,0.9622539469505779,0.7405732521685254,0.7291079756329777,0.9110840223073947,0.9064722180213333,0.9638081290322581,0.9621573130548386,0.9638081290322581,0.9621573130548386,0.7414389647308387,0.7298773939193549,0.9127007316636452,0.9081383533709678,0.888889,0.868852674,0.888889,0.868852674,0.711833222222,0.7010178006,0.882189580247,0.8794840913,1.0,1.0,0.769212382716,0.940983148148,0,0,0,31,31,0,31
pune,10007924,2025-10-01,0.9815329504643965,0.9814298704479876,0.9815329504643965,0.9814298704479876,0.7768549854369101,0.7690875945589783,0.9911588512170201,0.9915445836241487,0.9817145806451613,0.9814847092193548,0.9817145806451613,0.9814847092193548,0.7808550347955807,0.7732190286064516,0.9922414546726773,0.9923746015774194,0.938272,0.9307474068,0.938272,0.9307474068,0.744856061728,0.7322188838,0.981481481481,0.9803631539,1.0,1.0,0.80452682716,1.0,0,0,0,25,31,0,25
pune,10009040,2025-10-01,0.8565084285714286,0.8759706728857142,0.9567566428571429,0.9559862942928571,0.7221254597330001,0.6790488185499999,0.913950477100643,0.8693682166571428,0.8528864516129032,0.8736889987225807,0.9499482258064516,0.9537935766645161,0.7146293067392259,0.6734747049225807,0.9135888624570323,0.8683749055225806,0.814815,0.8201635857,0.90411,0.8940805718,0.673076923077,0.6313192484,0.868264863014,0.7854852592,0.888889,0.986301,0.765777813333,0.945833368421,0,0,0,31,31,0,31
pune,10011132,2025-10-01,0.9728289411764706,0.9688653449882354,0.9735551764705882,0.9698080927117648,0.6976282814286177,0.6885978214323529,0.9119855811666765,0.9048192057735295,0.9693883548387097,0.9669303839419355,0.970184870967742,0.967964365316129,0.6962746981747743,0.6891208441903226,0.9167969073110968,0.9120825017064516,0.91358,0.9090909091,0.91358,0.9090909091,0.655555555556,0.6416010631,0.8854166875,0.8729846275,1.0,1.0,0.746748012195,0.950617308642,0,0,0,31,31,0,31
pune,10015803,2025-10-01,0.20410533333333333,0.21186283493333335,0.9118733333333333,0.8901206409666668,0.7819896293706666,0.2447705904666667,0.9193668927740001,0.2960790758,0.1944324193548387,0.19886957659354837,0.8905796774193548,0.8785392828516129,0.7573608244980645,0.2341259011516129,0.8926191487706129,0.281922290216129,0.17284,0.1718334331,0.8,0.7676801959,0.706689769231,0.2083246738,0.837395909091,0.2430729568,0.209877,1.0,0.818349909091,0.951145818182,31,31,0,24,31,0,0
pune,10015807,2025-10-01,0.9568214325657897,0.9578592635850328,0.9568214325657897,0.9578592635850328,0.7772146025583223,0.7638675621192433,0.9001431520071759,0.8911106968508222,0.957033064516129,0.9577592837129032,0.957033064516129,0.9577592837129032,0.7800793204242903,0.7672250062967741,0.9034468080689032,0.8947860804612904,0.839506,0.8586306517,0.839506,0.8586306517,0.729495658537,0.7106129324,0.859006604938,0.8460367981,1.0,1.0,0.828428950617,0.959505666667,0,0,0,20,23,0,20
pune,10015808,2025-10-01,0.9237096905537456,0.9226557398648209,0.9237096905537456,0.9226557398648209,0.7881936134234918,0.7735949842026059,0.8927655919089805,0.8808282280026059,0.9260812903225807,0.9268002849032259,0.9260812903225807,0.9268002849032259,0.7951500147352581,0.7810697724290322,0.8986782556750323,0.8872712608967742,0.765432,0.7279982912,0.765432,0.7279982912,0.739926802469,0.7153683892,0.85678,0.8373236102,1.0,1.0,0.861686037037,0.960570777778,1,3,1,20,22,0,19
pune,10037403,2025-10-01,0.9609205094339623,0.9580631288849057,0.9641121886792454,0.9587135052377358,0.6513678832926226,0.6331847145603774,0.8906384263860753,0.8768640645320754,0.9622247741935483,0.9596838677838709,0.965725064516129,0.9603698175387096,0.6518638021008387,0.6336620866258065,0.8874434815910645,0.8732944202806451,0.91358,0.9002945451,0.91358,0.9002945451,0.6199387,0.6069382573,0.85367745679,0.8320138617,1.0,1.0,0.682622604938,0.916890825,0,0,0,31,31,0,31
